src_A_mod64,src_l_mod4,dst_Aplus_mod64,dst_lplus_mod4,count,prob,src_total
4,3,42,1,33,0.12547528517110265,263
4,3,2,1,33,0.12547528517110265,263
4,3,10,1,32,0.12167300380228137,263
4,3,18,1,32,0.12167300380228137,263
6,0,16,1,35,0.13059701492537312,268
6,0,56,1,34,0.12686567164179105,268
6,0,0,1,34,0.12686567164179105,268
6,0,8,1,34,0.12686567164179105,268
6,0,40,1,33,0.12313432835820895,268
6,0,24,1,33,0.12313432835820895,268
6,0,32,1,33,0.12313432835820895,268
6,0,48,1,32,0.11940298507462686,268
6,1,0,1,34,0.13545816733067728,251
6,1,24,1,34,0.13545816733067728,251
6,1,48,1,34,0.13545816733067728,251
6,1,8,1,32,0.12749003984063745,251
6,1,40,1,31,0.12350597609561753,251
6,1,16,1,29,0.11553784860557768,251
6,1,32,1,29,0.11553784860557768,251
6,1,56,1,28,0.11155378486055777,251
6,2,8,1,34,0.1297709923664122,262
6,2,24,1,33,0.12595419847328243,262
6,2,48,1,33,0.12595419847328243,262
6,2,16,1,33,0.12595419847328243,262
6,2,0,1,33,0.12595419847328243,262
6,2,32,1,32,0.12213740458015267,262
6,2,56,1,32,0.12213740458015267,262
6,2,40,1,32,0.12213740458015267,262
6,3,32,1,34,0.1297709923664122,262
6,3,56,1,33,0.12595419847328243,262
6,3,16,1,33,0.12595419847328243,262
6,3,40,1,33,0.12595419847328243,262
6,3,0,1,33,0.12595419847328243,262
6,3,24,1,32,0.12213740458015267,262
6,3,48,1,32,0.12213740458015267,262
6,3,8,1,32,0.12213740458015267,262
8,0,54,0,19,0.0708955223880597,268
8,0,34,0,18,0.06716417910447761,268
8,0,58,0,18,0.06716417910447761,268
8,0,50,0,18,0.06716417910447761,268
8,0,26,0,17,0.06343283582089553,268
8,0,14,0,17,0.06343283582089553,268
8,0,6,0,17,0.06343283582089553,268
8,0,62,0,17,0.06343283582089553,268
8,0,46,0,17,0.06343283582089553,268
8,0,30,0,16,0.05970149253731343,268
8,0,10,0,16,0.05970149253731343,268
8,0,2,0,16,0.05970149253731343,268
8,0,42,0,16,0.05970149253731343,268
8,0,38,0,16,0.05970149253731343,268
